iter	Passed	Remaining
1412	65971	1867
1413	66019	1820
1414	66065	1774
1415	66107	1727
1416	66149	1680
1417	66198	1633
1418	66250	1587
1419	66299	1540
1420	66343	1494
1421	66387	1447
1422	66430	1400
1423	66477	1353
1424	66527	1307
1425	66575	1260
1426	66620	1213
1427	66667	1167
1428	66710	1120
1429	66762	1073
1430	66808	1027
1431	66852	980
1432	66899	933
1433	66947	887
1434	66999	840
1435	67045	793
1436	67090	747
1437	67135	700
1438	67185	653
1439	67233	606
1440	67280	560
1441	67335	513
1442	67381	466
1443	67426	420
1444	67470	373
1445	67516	326
1446	67562	280
1447	67604	233
1448	67647	186
1449	67698	140
1450	67748	93
1451	67799	46
1452	67851	0
